"REPD Ref","Status","Site Name","Technology","Capacity (MW)","Local Authority","LA Code"
"Strathclyde","Nether Carswell Cottage Wind Turbine","Wind Onshore",4.2,"Application Submitted","East Renfrewshire","S12000011"
"East Renfrewshire","Moorshield Wind Farm","Wind Onshore",15,"Application Submitted","East Renfrewshire","S12000011"
"Lothian","Claylands Road","Solar Photovoltaics",0.2,"Awaiting Construction","City of Edinburgh","S12000036"
"Lothian","City of Edinburgh Council Buildings","Solar Photovoltaics",0.2,"Awaiting Construction","City of Edinburgh","S12000036"
"Falkirk","Easter Drumclair Wood","Wind Onshore",6,"Awaiting Construction","Falkirk","S12000014"
"Stirling","Caledon Green - Gas Powered Electricity Generation Facility","Landfill Gas",22.5,"Awaiting Construction","Falkirk","S12000014"
"Stirlingshire","Roughmute Sewage Treatment Works - Solar Panels","Solar Photovoltaics",0.812,"Awaiting Construction","Falkirk","S12000014"
"Falkirk","CalaChem Fine Chemicals (Grangemouth)","EfW Incineration",21.5,"Under Construction","Falkirk","S12000014"
"Central","North Inches - Solar Photovoltaic Electricity Generation","Solar Photovoltaics",NA,"Application Submitted","Falkirk","S12000014"
"Lothian","Campbells Prime Meat, The Heatherfield Whitecross - Solar Panels","Solar Photovoltaics",NA,"Awaiting Construction","Falkirk","S12000014"
"Central","Denny Wastewater Treatment, Winchester Avenue - Solar Panels","Solar Photovoltaics",0.44,"Awaiting Construction","Falkirk","S12000014"
"Fife","Dunfermline North - Solar Photovoltaic Array/Battery storage","Solar Photovoltaics",29.9,"Awaiting Construction","Fife","S12000047"
"Fife","Banbeath Industrial Estate Solar Array","Solar Photovoltaics",4.19,"Under Construction","Fife","S12000047"
"Fife","Leviton, Viewfield Industrial Estate - Solar Panels","Solar Photovoltaics",1,"Awaiting Construction","Fife","S12000047"
"Fife","Eden Campus","Solar Photovoltaics",1,"Awaiting Construction","Fife","S12000047"
"Fife","Banbeath Industrial Estate","Solar Photovoltaics",0.2,"Awaiting Construction","Fife","S12000047"
"Fife","Fife Energy Park - H100 Fife Hydrogen Demonstration Project","Hydrogen",NA,"Awaiting Construction","Fife","S12000047"
"Fife","Parkend Crossgates - Solar Panels & Battery Storage","Solar Photovoltaics",30,"Application Submitted","Fife","S12000047"
"Fife","Kirkcaldy W W T W, Nether Street- Solar Panels","Solar Photovoltaics",0.65,"Awaiting Construction","Fife","S12000047"
"Fife","Strathruddie, Kinglassie - Solar farm","Solar Photovoltaics",25,"Awaiting Construction","Fife","S12000047"
"Fife","Westfield (former Opencast Coal Mine)","EfW Incineration",23.7,"Under Construction","Fife","S12000047"
"Fife","Saline Shaw - Wind Turbine","Wind Onshore",0.5,"Awaiting Construction","Fife","S12000047"
"Fife","Land North of Balbeggie Avenue","Solar Photovoltaics",12,"Awaiting Construction","Fife","S12000047"
"Strathclyde","Dalmarnock Wastewater Treatment Works - Solar Panels","Solar Photovoltaics",NA,"Awaiting Construction","Glasgow City","S12000049"
"Strathclyde","Duke Street Solar Panels","Solar Photovoltaics",NA,"Awaiting Construction","Glasgow City","S12000049"
"Strathclyde","South Clyde Energy Centre","EfW Incineration",20,"Awaiting Construction","Glasgow City","S12000049"
"Strathclyde","Hutchesons Grammar School","Solar Photovoltaics",0.2,"Awaiting Construction","Glasgow City","S12000049"
"Strathclyde","Lochfauld Road - Solar Park","Solar Photovoltaics",18.4,"Application Submitted","Glasgow City","S12000049"
"Highland","Forss Wind Farm","Wind Onshore",4.5,"Application Submitted","Highland","S12000017"
"Highland","Allt na Moine","Small Hydro",2,"Under Construction","Highland","S12000017"
"Highland","Allt Eilidh","Small Hydro",0.6,"Under Construction","Highland","S12000017"
"Highland","Glen Etive Estate Phase I (Allt na Chaorainn)","Small Hydro",1.4,"Awaiting Construction","Highland","S12000017"
"Highland","Blackwater Dam","Small Hydro",0.8,"Awaiting Construction","Highland","S12000017"
"Highland","Ben Sca 2 Wind Turbines","Wind Onshore",8.4,"Awaiting Construction","Highland","S12000017"
"Highland","Glen Etive Estate Phase II (Allt Mheuran)","Small Hydro",0.9,"Awaiting Construction","Highland","S12000017"
"Highland","Glen Ullinish Wind Farm","Wind Onshore",42,"Awaiting Construction","Highland","S12000017"
"Highland","Gaineamhach Hydro Scheme Powerhouse","Small Hydro",2,"Awaiting Construction","Highland","S12000017"
"Highland","Allt Charnan","Small Hydro",1,"Awaiting Construction","Highland","S12000017"
"Highland","Duror 2 Hydro Scheme","Small Hydro",0.4,"Under Construction","Highland","S12000017"
"Highland","Lochaber Hydro Development (Scheme 3)","Small Hydro",2,"Awaiting Construction","Highland","S12000017"
"Highland","Land near Tacher, Latheron","Wind Onshore",4.1,"Under Construction","Highland","S12000017"
"Highland","Lochaber Hydro Development (Scheme 2)","Small Hydro",1.1,"Awaiting Construction","Highland","S12000017"
"Highland","Ardgour Hydro","Small Hydro",0.55,"Application Submitted","Highland","S12000017"
"Highland","Luichart Power Station","Small Hydro",2.6,"Awaiting Construction","Highland","S12000017"
"Highland","Dell Wind Farm","Wind Onshore",50,"Awaiting Construction","Highland","S12000017"
"Highland","Lairg 2 Wind Farm","Wind Onshore",34.5,"Awaiting Construction","Highland","S12000017"
"Highland","Invershin Community Hall - Wind Farm & Battery Storage","Wind Onshore",222,"Application Submitted","Highland","S12000017"
"Highland","Upper Bighouse Biomass Boilers","Biomass (dedicated)",260,"Application Submitted","Highland","S12000017"
"Highland","Sallachy Estate - Wind Farm","Wind Onshore",20,"Awaiting Construction","Highland","S12000017"
"Highland","Alness Academy","Solar Photovoltaics",0.5,"Under Construction","Highland","S12000017"
"Highland","Hill Of Lychrobbie","Wind Onshore",2.4,"Awaiting Construction","Highland","S12000017"
"Highland","Camster II","Wind Onshore",38,"Awaiting Construction","Highland","S12000017"
"Highland","Strath Tirry Wind Farm","Wind Onshore",22.8,"Awaiting Construction","Highland","S12000017"
